mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
1.08,"7 km NW of The Geysers, CA",1709756441580,1709757245895,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012781,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012781&format=geojson,1.0,0.0,,,automatic,0,18,nc,74012781,",nc74012781,",",nc,",",dyfi,nearby-cities,origin,phase-data,",21.0,0.01784,0.04,41.0,md,earthquake,"M 1.1 - 7 km NW of The Geysers, CA"
5.1,"42 km ENE of Kinablangan, Philippines",1709756385191,1709762526786,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3rt,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m3rt&format=geojson,3.0,2.7,,,reviewed,0,401,us,7000m3rt,",us7000m3rt,",",us,",",dyfi,origin,phase-data,",103.0,1.529,1.07,47.0,mb,earthquake,"M 5.1 - 42 km ENE of Kinablangan, Philippines"
1.45,"39 km NE of Spencer, Idaho",1709756362990,1709764054960,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90042698,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90042698&format=geojson,,,,,reviewed,0,32,mb,90042698,",mb90042698,",",mb,",",origin,phase-data,",10.0,0.1816,0.14,158.0,ml,earthquake,"M 1.5 - 39 km NE of Spencer, Idaho"
1.17,"24 km W of Dillon, Montana",1709756345560,1709763643100,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90042688,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90042688&format=geojson,,,,,reviewed,0,21,mb,90042688,",mb90042688,",",mb,",",origin,phase-data,",7.0,0.2232,0.08,191.0,ml,earthquake,"M 1.2 - 24 km W of Dillon, Montana"
0.77,"7 km NW of The Geysers, CA",1709756327140,1709756422528,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012776,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012776&format=geojson,,,,,automatic,0,9,nc,74012776,",nc74012776,",",nc,",",nearby-cities,origin,phase-data,",8.0,0.004267,0.04,94.0,md,earthquake,"M 0.8 - 7 km NW of The Geysers, CA"
2.27,"40 km NE of Spencer, Idaho",1709755772290,1709763251270,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90042678,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90042678&format=geojson,,,,,reviewed,0,79,mb,90042678,",mb90042678,",",mb,",",origin,phase-data,",28.0,0.1797,0.2,53.0,ml,earthquake,"M 2.3 - 40 km NE of Spencer, Idaho"
2.4,"54 km S of Whites City, New Mexico",1709755758990,1709815099558,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024eqhp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024eqhp&format=geojson,,,,,reviewed,0,89,tx,2024eqhp,",us7000m3rq,tx2024eqhp,",",us,tx,",",origin,phase-data,",29.0,0.2,0.3,57.0,ml,earthquake,"M 2.4 - 54 km S of Whites City, New Mexico"
4.8,"11 km SSE of Marihatag, Philippines",1709755690033,1709757046040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3rs,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m3rs&format=geojson,,,,,reviewed,0,354,us,7000m3rs,",us7000m3rs,",",us,",",origin,phase-data,",94.0,1.785,0.96,102.0,mb,earthquake,"M 4.8 - 11 km SSE of Marihatag, Philippines"
-0.04,"60 km SE of Pedro Bay, Alaska",1709755590760,1709772361490,,https://earthquake.usgs.gov/earthquakes/eventpage/av91135568,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91135568&format=geojson,,,,,reviewed,0,0,av,91135568,",av91135568,",",av,",",origin,phase-data,",7.0,,0.18,147.0,ml,earthquake,"M 0.0 - 60 km SE of Pedro Bay, Alaska"
2.3,"48 km W of Mentone, Texas",1709755496986,1709830714771,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024eqhl,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024eqhl&format=geojson,,,,,reviewed,0,81,tx,2024eqhl,",tx2024eqhl,",",tx,",",origin,phase-data,",21.0,0.0,0.2,53.0,ml,earthquake,"M 2.3 - 48 km W of Mentone, Texas"
-0.06,"86 km NNW of Karluk, Alaska",1709755253290,1709772138570,,https://earthquake.usgs.gov/earthquakes/eventpage/av91135563,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91135563&format=geojson,,,,,reviewed,0,0,av,91135563,",av91135563,",",av,",",origin,phase-data,",7.0,,0.11,130.0,ml,earthquake,"M -0.1 - 86 km NNW of Karluk, Alaska"
1.57,"13 km S of Tres Pinos, CA",1709754514600,1709754608182,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012766,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012766&format=geojson,,,,,automatic,0,38,nc,74012766,",nc74012766,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.0334,0.15,62.0,md,earthquake,"M 1.6 - 13 km S of Tres Pinos, CA"
2.18,"8 km WSW of Petrolia, CA",1709754358810,1709933912056,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012761,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012761&format=geojson,,,,,reviewed,0,73,nc,74012761,",nc74012761,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",22.0,0.03064,0.16,232.0,md,earthquake,"M 2.2 - 8 km WSW of Petrolia, CA"
2.07,"2 km E of Aromas, CA",1709753808780,1709753903101,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012756,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012756&format=geojson,,,,,automatic,0,66,nc,74012756,",nc74012756,",",nc,",",nearby-cities,origin,phase-data,",17.0,0.0184,0.08,61.0,md,earthquake,"M 2.1 - 2 km E of Aromas, CA"
0.75,"13 km NW of The Geysers, CA",1709753767770,1709753863071,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012751,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012751&format=geojson,,,,,automatic,0,9,nc,74012751,",nc74012751,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.007006,0.02,111.0,md,earthquake,"M 0.8 - 13 km NW of The Geysers, CA"
5.0,"26 km WSW of Lata, Solomon Islands",1709753221825,1709754910040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3re,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m3re&format=geojson,,,,,reviewed,0,385,us,7000m3re,",us7000m3re,",",us,",",origin,phase-data,",68.0,5.69,0.7,97.0,mb,earthquake,"M 5.0 - 26 km WSW of Lata, Solomon Islands"
0.02,"23 km ENE of West Yellowstone, Montana",1709752574080,1709761564210,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061991,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061991&format=geojson,,,,,reviewed,0,0,uu,80061991,",uu80061991,",",uu,",",origin,phase-data,",6.0,0.02367,0.04,112.0,md,earthquake,"M 0.0 - 23 km ENE of West Yellowstone, Montana"
0.75,"23 km ENE of West Yellowstone, Montana",1709751763180,1709762965320,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061971,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061971&format=geojson,,,,,reviewed,0,9,uu,80061971,",uu80061971,",",uu,",",origin,phase-data,",7.0,0.02256,0.07,144.0,md,earthquake,"M 0.8 - 23 km ENE of West Yellowstone, Montana"
1.82,"2 km S of Lima, Montana",1709751727930,1709766023110,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90042673,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90042673&format=geojson,,,,,reviewed,0,51,mb,90042673,",mb90042673,",",mb,",",origin,phase-data,",9.0,0.04011,0.09,97.0,ml,earthquake,"M 1.8 - 2 km S of Lima, Montana"
2.8,"18 km E of Pleasanton, Texas",1709751485162,1709773620622,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024eqfg,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024eqfg&format=geojson,1.0,2.7,,,reviewed,0,121,tx,2024eqfg,",tx2024eqfg,us7000m3r6,",",tx,us,",",dyfi,origin,phase-data,",21.0,0.1,0.4,79.0,ml,earthquake,"M 2.8 - 18 km E of Pleasanton, Texas"
0.77,"11 km NW of Veyo, Utah",1709751264960,1709765304640,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061966,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061966&format=geojson,,,,,reviewed,0,9,uu,80061966,",uu80061966,",",uu,",",origin,phase-data,",7.0,0.08038,0.13,80.0,md,earthquake,"M 0.8 - 11 km NW of Veyo, Utah"
2.12,"2 km S of Lima, Montana",1709751226650,1709765375450,,https://earthquake.usgs.gov/earthquakes/eventpage/mb90042663,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=mb90042663&format=geojson,,,,,reviewed,0,69,mb,90042663,",mb90042663,",",mb,",",origin,phase-data,",13.0,0.03654,0.09,75.0,ml,earthquake,"M 2.1 - 2 km S of Lima, Montana"
1.22,"22 km ENE of West Yellowstone, Montana",1709751014150,1709753316380,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061961,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061961&format=geojson,,,,,reviewed,0,23,uu,80061961,",uu80061961,",",uu,",",origin,phase-data,",9.0,0.02475,0.09,100.0,md,earthquake,"M 1.2 - 22 km ENE of West Yellowstone, Montana"
0.77,"9 km WNW of Cobb, CA",1709750264340,1709750358478,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012721,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012721&format=geojson,,,,,automatic,0,9,nc,74012721,",nc74012721,",",nc,",",nearby-cities,origin,phase-data,",15.0,0.009351,0.02,94.0,md,earthquake,"M 0.8 - 9 km WNW of Cobb, CA"
1.73,"4 km ESE of Skedee, Oklahoma",1709749728399,1709756680780,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024eqeh,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2024eqeh&format=geojson,,,,,reviewed,0,46,ok,2024eqeh,",ok2024eqeh,",",ok,",",origin,phase-data,",81.0,0.129574573,0.32,111.0,ml,earthquake,"M 1.7 - 4 km ESE of Skedee, Oklahoma"
1.16,"4 km ENE of Ocotillo Wells, CA",1709749136590,1709831124500,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40682344,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40682344&format=geojson,,,,,reviewed,0,21,ci,40682344,",ci40682344,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",49.0,0.06427,0.22,48.0,ml,earthquake,"M 1.2 - 4 km ENE of Ocotillo Wells, CA"
0.94,"8 km NW of Prague, Oklahoma",1709748814119,1709923114393,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024eqdu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2024eqdu&format=geojson,,,,,reviewed,0,14,ok,2024eqdu,",ok2024eqdu,",",ok,",",origin,phase-data,",42.0,0.01259752794,0.24,48.0,ml,earthquake,"M 0.9 - 8 km NW of Prague, Oklahoma"
1.54,"20 km NW of Parkfield, CA",1709748455150,1709748549036,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012716,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012716&format=geojson,,,,,automatic,0,36,nc,74012716,",nc74012716,",",nc,",",nearby-cities,origin,phase-data,",10.0,0.04269,0.09,107.0,md,earthquake,"M 1.5 - 20 km NW of Parkfield, CA"
2.3,"2 km SSW of Liborio Negron Torres, Puerto Rico",1709748174920,1709748952780,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71442218,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71442218&format=geojson,,,,,reviewed,0,81,pr,71442218,",pr71442218,",",pr,",",origin,phase-data,",3.0,0.08232,0.01,219.0,md,earthquake,"M 2.3 - 2 km SSW of Liborio Negron Torres, Puerto Rico"
0.3,"22 km ENE of West Yellowstone, Montana",1709748174640,1709749510690,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061941,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061941&format=geojson,,,,,reviewed,0,1,uu,80061941,",uu80061941,",",uu,",",origin,phase-data,",7.0,0.02402,0.11,109.0,md,earthquake,"M 0.3 - 22 km ENE of West Yellowstone, Montana"
1.2,"11 km SE of Smith, Nevada",1709747933685,1709764800149,,https://earthquake.usgs.gov/earthquakes/eventpage/nn00874291,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nn00874291&format=geojson,,,,,reviewed,0,22,nn,00874291,",nn00874291,",",nn,",",origin,phase-data,",7.0,0.34,0.0694,166.37,ml,earthquake,"M 1.2 - 11 km SE of Smith, Nevada"
-0.04,"22 km ENE of West Yellowstone, Montana",1709747849340,1709749596750,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061936,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061936&format=geojson,,,,,reviewed,0,0,uu,80061936,",uu80061936,",",uu,",",origin,phase-data,",6.0,0.02931,0.09,104.0,md,earthquake,"M 0.0 - 22 km ENE of West Yellowstone, Montana"
0.08,"9 km NNE of Government Camp, Oregon",1709747664890,1709763285130,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61987866,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61987866&format=geojson,,,,,reviewed,0,0,uw,61987866,",uw61987866,",",uw,",",origin,phase-data,",4.0,0.02153,0.04,151.0,ml,earthquake,"M 0.1 - 9 km NNE of Government Camp, Oregon"
1.05,"2 km SE of The Geysers, CA",1709747341520,1709747437792,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012711,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012711&format=geojson,,,,,automatic,0,17,nc,74012711,",nc74012711,",",nc,",",nearby-cities,origin,phase-data,",9.0,0.008082,0.02,99.0,md,earthquake,"M 1.1 - 2 km SE of The Geysers, CA"
4.5,"73 km NE of Kashgar, China",1709746666210,1709752548040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3qu,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m3qu&format=geojson,,,,,reviewed,0,312,us,7000m3qu,",us7000m3qu,",",us,",",origin,phase-data,",44.0,1.356,0.82,127.0,mb,earthquake,"M 4.5 - 73 km NE of Kashgar, China"
0.84,"11 km ESE of Anza, CA",1709746430500,1709772700439,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40682288,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40682288&format=geojson,,,,,reviewed,0,11,ci,40682288,",ci40682288,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",32.0,0.04265,0.17,46.0,ml,earthquake,"M 0.8 - 11 km ESE of Anza, CA"
0.47,"19 km ESE of Anza, CA",1709746412460,1709773179689,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37629820,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37629820&format=geojson,,,,,reviewed,0,3,ci,37629820,",ci37629820,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",21.0,0.04702,0.16,111.0,ml,earthquake,"M 0.5 - 19 km ESE of Anza, CA"
0.43,"8 km NW of The Geysers, CA",1709746368980,1710347450335,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012701,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012701&format=geojson,,,,,reviewed,0,3,nc,74012701,",nc74012701,",",nc,",",nearby-cities,origin,phase-data,",20.0,0.009136,0.02,83.0,md,earthquake,"M 0.4 - 8 km NW of The Geysers, CA"
2.0,"120 km S of McCarthy, Alaska",1709745755240,1709745899278,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02431fq2ck,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02431fq2ck&format=geojson,,,,,automatic,0,62,ak,02431fq2ck,",ak02431fq2ck,",",ak,",",origin,phase-data,",,,0.7,,ml,earthquake,"M 2.0 - 120 km S of McCarthy, Alaska"
1.6,"56 km S of Whites City, New Mexico",1709745607235,1709823750019,,https://earthquake.usgs.gov/earthquakes/eventpage/tx2024eqca,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=tx2024eqca&format=geojson,,,,,reviewed,0,39,tx,2024eqca,",tx2024eqca,",",tx,",",origin,phase-data,",17.0,0.0,0.2,69.0,ml,earthquake,"M 1.6 - 56 km S of Whites City, New Mexico"
5.1,"133 km NNE of Hihifo, Tonga",1709745447144,1709750837893,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3qr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m3qr&format=geojson,2.0,3.3,,,reviewed,0,401,us,7000m3qr,",us7000m3qr,",",us,",",dyfi,origin,phase-data,",80.0,1.69,0.98,49.0,mb,earthquake,"M 5.1 - 133 km NNE of Hihifo, Tonga"
1.67,"4 km NW of The Geysers, CA",1709745296070,1710291370430,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012696,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012696&format=geojson,,,,,reviewed,0,43,nc,74012696,",nc74012696,",",nc,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",42.0,0.004406,0.05,44.0,md,earthquake,"M 1.7 - 4 km NW of The Geysers, CA"
1.8,"37 km WNW of Anchor Point, Alaska",1709744872571,1709745048333,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02431fmvy0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02431fmvy0&format=geojson,,,,,automatic,0,50,ak,02431fmvy0,",ak02431fmvy0,",",ak,",",origin,phase-data,",,,0.63,,ml,earthquake,"M 1.8 - 37 km WNW of Anchor Point, Alaska"
2.16,"11 km WSW of Fall River Mills, CA",1709744701900,1709853734339,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012691,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012691&format=geojson,,,,,reviewed,0,72,nc,74012691,",nc74012691,",",nc,",",nearby-cities,origin,phase-data,",26.0,0.1656,0.1,38.0,md,earthquake,"M 2.2 - 11 km WSW of Fall River Mills, CA"
1.55,"13 km WNW of Atka, Alaska",1709744693740,1709770994090,,https://earthquake.usgs.gov/earthquakes/eventpage/av92224411,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av92224411&format=geojson,,,,,reviewed,0,37,av,92224411,",av92224411,",",av,",",origin,phase-data,",6.0,,0.08,278.0,ml,earthquake,"M 1.6 - 13 km WNW of Atka, Alaska"
0.48,"8 km NW of The Geysers, CA",1709744647350,1709744743438,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012686,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012686&format=geojson,,,,,automatic,0,4,nc,74012686,",nc74012686,",",nc,",",nearby-cities,origin,phase-data,",6.0,0.009169,0.01,83.0,md,earthquake,"M 0.5 - 8 km NW of The Geysers, CA"
0.33,"8 km NW of The Geysers, CA",1709744310300,1709854757319,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012681,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012681&format=geojson,,,,,reviewed,0,2,nc,74012681,",nc74012681,",",nc,",",nearby-cities,origin,phase-data,",16.0,0.01011,0.01,52.0,md,earthquake,"M 0.3 - 8 km NW of The Geysers, CA"
1.6300000000000001,"5 km S of Wilderness Rim, Washington",1709744267620,1709750128700,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61987846,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61987846&format=geojson,,,,,reviewed,0,41,uw,61987846,",uw61987846,",",uw,",",origin,phase-data,",39.0,0.02669,0.14,83.0,ml,earthquake,"M 1.6 - 5 km S of Wilderness Rim, Washington"
4.4,"64 km ESE of Marihatag, Philippines",1709744085920,1709773499040,,https://earthquake.usgs.gov/earthquakes/eventpage/us7000m3qn,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us7000m3qn&format=geojson,,,,,reviewed,0,298,us,7000m3qn,",us7000m3qn,",",us,",",origin,phase-data,",32.0,2.008,1.02,127.0,mb,earthquake,"M 4.4 - 64 km ESE of Marihatag, Philippines"
0.42,"4 km N of Lake Henshaw, CA",1709743875100,1709771931360,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40682240,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40682240&format=geojson,,,,,reviewed,0,3,ci,40682240,",ci40682240,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.04082,0.15,70.0,ml,earthquake,"M 0.4 - 4 km N of Lake Henshaw, CA"
2.5,"2 km NNE of Nanwalek, Alaska",1709743617981,1709774198040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02431f9tom,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02431f9tom&format=geojson,,,,,automatic,0,96,ak,02431f9tom,",us7000m3qe,ak02431f9tom,",",us,ak,",",origin,phase-data,",,,0.3,,ml,earthquake,"M 2.5 - 2 km NNE of Nanwalek, Alaska"
-0.39,"8 km W of Cobb, CA",1709743216250,1709853042901,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012676,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012676&format=geojson,,,,,reviewed,0,0,nc,74012676,",nc74012676,",",nc,",",nearby-cities,origin,phase-data,",11.0,0.01365,0.02,64.0,md,earthquake,"M -0.4 - 8 km W of Cobb, CA"
0.64,"13 km SSW of Tres Pinos, CA",1709742949010,1710290921273,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012671,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012671&format=geojson,,,,,reviewed,0,6,nc,74012671,",nc74012671,",",nc,",",nearby-cities,origin,phase-data,",12.0,0.03234,0.08,83.0,md,earthquake,"M 0.6 - 13 km SSW of Tres Pinos, CA"
1.6,"24 km NNE of Paxson, Alaska",1709742776347,1709742957613,,https://earthquake.usgs.gov/earthquakes/eventpage/ak02431f6ti3,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak02431f6ti3&format=geojson,,,,,automatic,0,39,ak,02431f6ti3,",ak02431f6ti3,",",ak,",",origin,phase-data,",,,0.38,,ml,earthquake,"M 1.6 - 24 km NNE of Paxson, Alaska"
0.92,"23 km ENE of West Yellowstone, Montana",1709742694970,1709744607960,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061911,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061911&format=geojson,,,,,reviewed,0,13,uu,80061911,",uu80061911,",",uu,",",origin,phase-data,",10.0,0.01442,0.16,109.0,ml,earthquake,"M 0.9 - 23 km ENE of West Yellowstone, Montana"
0.53,"23 km ENE of West Yellowstone, Montana",1709742633660,1709744724350,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061906,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061906&format=geojson,,,,,reviewed,0,4,uu,80061906,",uu80061906,",",uu,",",origin,phase-data,",8.0,0.01791,0.16,104.0,md,earthquake,"M 0.5 - 23 km ENE of West Yellowstone, Montana"
0.83,"2 km NW of Anderson Springs, CA",1709742578930,1709849767188,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012666,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012666&format=geojson,,,,,reviewed,0,11,nc,74012666,",nc74012666,",",nc,",",nearby-cities,origin,phase-data,",4.0,0.01989,0.01,220.0,md,earthquake,"M 0.8 - 2 km NW of Anderson Springs, CA"
0.62,"14 km NE of Milford, Utah",1709742313060,1710280660810,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061901,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061901&format=geojson,,,,,reviewed,0,6,uu,80061901,",uu80061901,",",uu,",",origin,phase-data,",15.0,0.01398,0.08,68.0,md,earthquake,"M 0.6 - 14 km NE of Milford, Utah"
0.28,"6 km NW of The Geysers, CA",1709742190480,1709742282940,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012656,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012656&format=geojson,,,,,automatic,0,1,nc,74012656,",nc74012656,",",nc,",",nearby-cities,origin,phase-data,",8.0,0.00786,0.01,102.0,md,earthquake,"M 0.3 - 6 km NW of The Geysers, CA"
0.02,"22 km ENE of West Yellowstone, Montana",1709742033180,1709745622260,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80000593,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80000593&format=geojson,,,,,reviewed,0,0,uu,80000593,",uu80000593,",",uu,",",origin,phase-data,",6.0,0.03584,0.1,107.0,md,earthquake,"M 0.0 - 22 km ENE of West Yellowstone, Montana"
0.52,"22 km ENE of West Yellowstone, Montana",1709741997430,1709745535210,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061896,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061896&format=geojson,,,,,reviewed,0,4,uu,80061896,",uu80061896,",",uu,",",origin,phase-data,",8.0,0.03133,0.14,108.0,md,earthquake,"M 0.5 - 22 km ENE of West Yellowstone, Montana"
1.1,"10 km WNW of The Geysers, CA",1709741977520,1709742072927,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012651,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012651&format=geojson,,,,,automatic,0,19,nc,74012651,",nc74012651,",",nc,",",nearby-cities,origin,phase-data,",16.0,0.003398,0.03,90.0,md,earthquake,"M 1.1 - 10 km WNW of The Geysers, CA"
1.22,"16 km NW of Bromide, Oklahoma",1709741942439,1709922776803,,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024epzz,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ok2024epzz&format=geojson,,,,,reviewed,0,23,ok,2024epzz,",ok2024epzz,",",ok,",",origin,phase-data,",38.0,0.1052793406,0.59,100.0,ml,quarry blast,"M 1.2 Quarry Blast - 16 km NW of Bromide, Oklahoma"
0.61,"3 km ENE of The Geysers, CA",1709741705260,1710346969610,,https://earthquake.usgs.gov/earthquakes/eventpage/nc74012636,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc74012636&format=geojson,,,,,reviewed,0,6,nc,74012636,",nc74012636,",",nc,",",nearby-cities,origin,phase-data,",24.0,0.02226,0.05,69.0,md,earthquake,"M 0.6 - 3 km ENE of The Geysers, CA"
0.39,"23 km ENE of West Yellowstone, Montana",1709741539100,1709745769060,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80061891,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80061891&format=geojson,,,,,reviewed,0,2,uu,80061891,",uu80061891,",",uu,",",origin,phase-data,",9.0,0.02086,0.18,109.0,md,earthquake,"M 0.4 - 23 km ENE of West Yellowstone, Montana"
-0.15,"22 km ENE of West Yellowstone, Montana",1709741501640,1709745871290,,https://earthquake.usgs.gov/earthquakes/eventpage/uu80000598,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uu80000598&format=geojson,,,,,reviewed,0,0,uu,80000598,",uu80000598,",",uu,",",origin,phase-data,",7.0,0.03821,0.15,102.0,md,earthquake,"M -0.2 - 22 km ENE of West Yellowstone, Montana"
